trans_id,lang,translation
尾原,ja-Hira,おばら
尾原上,ja,尾原上
尾原上,ja-Hira,おばらかみ
樫村,ja,樫村
樫村,ja-Hira,かしむら
下倉敷,ja,下倉敷
下倉敷,ja-Hira,しもくらしき
畑沖下,ja,畑沖下
畑沖下,ja-Hira,はたおきしも
畑沖,ja,畑沖
畑沖,ja-Hira,はたおき
鷺湯橋,ja,鷺湯橋
鷺湯橋,ja-Hira,さぎゆばし
湯郷温泉下,ja,湯郷温泉下
湯郷温泉下,ja-Hira,ゆのごうおんせんしも
湯郷温泉上,ja,湯郷温泉上
湯郷温泉上,ja-Hira,ゆのごうおんせんかみ
美作第一小学校前,ja,美作第一小学校前
美作第一小学校前,ja-Hira,みまさかだいいちしょうがっこうまえ
林野バスセンター,ja,林野バスセンター
林野バスセンター,ja-Hira,はやしのばすせんたー
本町,ja,本町
本町,ja-Hira,ほんまち
栄町,ja,栄町
栄町,ja-Hira,さかえまち
林野駅前,ja,林野駅前
林野駅前,ja-Hira,はやしのえきまえ
新道立川口,ja,新道立川口
新道立川口,ja-Hira,しんどうたつかわぐち
新道河本西,ja,新道河本西
新道河本西,ja-Hira,しんどうこうもとにし
新道河本,ja,新道河本
新道河本,ja-Hira,しんどうこうもと
新道山陽マルナカ前,ja,新道山陽マルナカ前
新道山陽マルナカ前,ja-Hira,しんどうさんようまるなかまえ
新道赤磐市役所入口,ja,新道赤磐市役所入口
新道赤磐市役所入口,ja-Hira,しんどうあかいわしやくしょいりぐち
新道高屋,ja,新道高屋
新道高屋,ja-Hira,しんどうたかや
新道高屋上,ja,新道高屋上
新道高屋上,ja-Hira,しんどうたかやかみ
新道沼田,ja,新道沼田
新道沼田,ja-Hira,しんどうぬた
新道二井口,ja,新道二井口
新道二井口,ja-Hira,しんどうふたいぐち
山陽団地中１番,ja,山陽団地中1番
山陽団地中１番,ja-Hira,さんようだんちなかいちばん
山陽団地郵便局前,ja,山陽団地郵便局前
山陽団地郵便局前,ja-Hira,さんようだんちゆうびんきょくまえ
山陽団地中２番,ja,山陽団地中2番
山陽団地中２番,ja-Hira,さんようだんちなかにばん
山陽西小学校前,ja,山陽西小学校前
山陽西小学校前,ja-Hira,さんようにししょうがっこうまえ
山陽団地中３番,ja,山陽団地中3番
山陽団地中３番,ja-Hira,さんようだんちなかさんばん
下市,ja,下市
下市,ja-Hira,しもいち
県民局入口（東岡山）,ja,県民局入口（東岡山）
県民局入口（東岡山）,ja-Hira,けんみんきょくいりぐち
岡電柳川（東岡山）,ja,岡電柳川（東岡山）
岡電柳川（東岡山）,ja-Hira,おかでんやながわひがし
